Record_id,id,Gender,Customer Type,Age,Age_group,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
882,74322,Male,Loyal Customer,36,Mid,Business travel,Business,1464,2,2,2,2,5,5,5,4,4,4,4,5,4,5,0,0.0,1
883,67090,Female,disloyal Customer,29,Young,Business travel,Business,1121,2,2,2,4,2,2,2,2,3,4,5,5,5,2,0,0.0,0
884,51430,Female,Loyal Customer,59,Senior,Personal Travel,Eco Plus,86,2,3,2,1,4,2,3,1,1,2,1,3,1,4,0,0.0,0
885,99815,Female,Loyal Customer,68,Old,Personal Travel,Business,468,0,2,0,4,5,3,3,4,4,0,4,1,4,2,0,0.0,1
886,3643,Male,Loyal Customer,61,Old,Business travel,Business,1961,1,1,1,1,4,5,4,4,4,4,4,3,4,3,102,97.0,1
887,97188,Female,Loyal Customer,48,Senior,Personal Travel,Eco,1129,4,4,4,1,4,4,4,3,3,4,2,5,3,4,0,0.0,0
888,38294,Male,Loyal Customer,25,Young,Business travel,Business,2342,1,3,1,1,4,4,4,3,1,4,2,4,1,4,46,48.0,1
889,96883,Male,Loyal Customer,8,Teen,Personal Travel,Eco,781,3,5,3,3,5,3,5,5,5,3,5,5,5,5,1,0.0,0
890,31773,Male,Loyal Customer,65,Old,Personal Travel,Eco,602,2,1,2,4,5,2,5,5,4,4,4,1,4,5,0,0.0,0
891,53367,Male,Loyal Customer,26,Young,Business travel,Business,1452,2,5,5,5,2,2,2,2,2,4,4,2,4,2,0,15.0,0
892,5512,Male,Loyal Customer,53,Senior,Business travel,Business,431,4,2,2,2,1,3,4,4,4,4,4,2,4,1,6,11.0,0
893,22172,Female,disloyal Customer,29,Young,Business travel,Eco,773,2,2,2,3,4,2,4,4,1,3,3,3,4,4,4,13.0,0
894,92685,Female,disloyal Customer,30,Young,Business travel,Eco,507,2,4,2,4,4,2,4,4,2,1,3,3,3,4,0,0.0,0
895,81531,Female,Loyal Customer,50,Senior,Business travel,Business,2283,1,5,5,5,1,2,3,1,1,2,1,1,1,4,13,5.0,0
896,64202,Female,Loyal Customer,31,Mid,Business travel,Business,2436,1,1,3,1,1,1,1,1,4,4,3,1,4,1,0,0.0,0
897,64306,Female,Loyal Customer,41,Mid,Business travel,Business,2223,4,4,5,4,3,5,5,4,4,4,4,3,4,5,10,5.0,1
898,17380,Female,Loyal Customer,44,Mid,Business travel,Eco,533,2,1,3,3,5,4,3,2,2,2,2,2,2,2,58,54.0,0
899,33631,Female,Loyal Customer,7,Teen,Personal Travel,Eco,399,2,3,2,3,1,2,1,1,5,3,5,1,4,1,0,0.0,0
900,109499,Male,Loyal Customer,59,Senior,Business travel,Business,951,3,3,3,3,5,5,4,4,4,4,4,4,4,5,0,0.0,1
901,94745,Female,Loyal Customer,53,Senior,Business travel,Business,192,2,2,2,2,5,5,4,5,5,5,5,5,5,4,0,0.0,1
902,126484,Male,Loyal Customer,43,Mid,Business travel,Business,1849,4,4,5,4,1,3,4,4,4,4,4,3,4,4,2,0.0,0
903,90246,Male,Loyal Customer,46,Senior,Business travel,Business,721,2,5,5,5,4,3,4,2,2,2,2,2,2,3,39,29.0,0
904,109782,Male,Loyal Customer,24,Young,Personal Travel,Business,1092,2,2,2,4,2,2,2,2,4,5,4,4,3,2,0,0.0,0
905,112610,Male,Loyal Customer,39,Mid,Business travel,Business,239,3,3,3,3,3,4,2,4,4,4,4,3,4,4,0,0.0,1
906,72338,Male,disloyal Customer,37,Mid,Business travel,Business,985,1,1,1,4,5,1,5,5,3,3,5,4,4,5,2,15.0,0
907,93939,Female,Loyal Customer,40,Mid,Business travel,Eco,107,3,3,3,3,3,4,3,3,4,4,4,2,4,3,58,43.0,0
908,126750,Male,Loyal Customer,25,Young,Personal Travel,Eco,2521,3,2,3,4,4,3,4,4,1,5,4,3,4,4,0,18.0,0
909,36975,Female,Loyal Customer,28,Young,Business travel,Eco,805,5,5,5,5,5,5,5,5,4,5,2,5,5,5,0,0.0,1
910,3017,Male,Loyal Customer,44,Mid,Business travel,Business,922,1,4,4,4,5,2,2,1,1,1,1,2,1,4,0,0.0,0
911,93973,Female,disloyal Customer,21,Young,Business travel,Business,1218,3,2,3,2,4,3,4,4,3,1,3,2,2,4,57,35.0,0
912,69643,Male,Loyal Customer,55,Senior,Business travel,Business,2945,2,2,2,2,1,4,4,2,2,3,2,3,2,2,0,8.0,0
913,123218,Male,Loyal Customer,17,Teen,Personal Travel,Eco,328,3,2,3,3,5,3,1,5,4,3,4,1,4,5,0,0.0,0
914,122185,Male,Loyal Customer,49,Senior,Business travel,Business,541,4,4,4,4,5,4,5,3,3,4,3,5,3,5,0,0.0,1
915,16656,Male,Loyal Customer,39,Mid,Business travel,Eco,488,3,4,4,4,3,3,3,3,1,2,4,3,4,3,3,12.0,0
916,57284,Male,Loyal Customer,38,Mid,Personal Travel,Eco,628,4,5,4,5,5,4,5,5,5,3,4,3,4,5,0,0.0,1
917,114246,Male,Loyal Customer,33,Mid,Business travel,Business,948,1,1,1,1,4,4,4,4,5,3,5,3,5,4,0,0.0,1
918,84364,Female,Loyal Customer,35,Mid,Business travel,Business,606,1,1,1,1,4,4,5,5,5,5,5,5,5,5,0,0.0,1
919,53261,Male,disloyal Customer,45,Mid,Business travel,Business,901,3,3,3,2,4,3,1,4,5,5,5,4,4,4,0,0.0,0
920,69411,Female,Loyal Customer,70,Old,Business travel,Business,2437,2,3,3,3,1,4,3,2,2,2,2,3,2,4,0,0.0,0
921,38637,Male,Loyal Customer,30,Young,Business travel,Business,2611,3,3,2,3,4,4,4,4,5,3,4,3,4,4,11,0.0,1
922,125026,Female,disloyal Customer,42,Mid,Business travel,Eco Plus,184,3,3,3,3,5,3,5,5,1,4,5,4,1,5,0,0.0,0
923,41620,Female,Loyal Customer,34,Mid,Business travel,Eco Plus,1464,0,0,0,3,2,0,2,2,5,5,4,4,5,2,3,14.0,1
924,38761,Male,Loyal Customer,24,Young,Business travel,Eco,354,4,4,2,4,4,4,3,4,3,1,1,1,2,4,0,0.0,1
925,3189,Male,Loyal Customer,39,Mid,Business travel,Business,185,2,3,3,3,4,3,4,3,3,3,2,2,3,2,105,101.0,0
926,26509,Male,Loyal Customer,48,Senior,Personal Travel,Eco,829,3,5,3,4,3,3,3,3,4,4,4,4,4,3,5,11.0,0
927,38521,Male,Loyal Customer,44,Mid,Business travel,Eco,2446,2,2,2,2,2,2,2,2,4,4,5,3,4,2,20,0.0,1
928,11753,Male,Loyal Customer,31,Mid,Business travel,Eco,395,2,1,1,1,2,2,2,2,3,5,2,3,3,2,5,7.0,0
929,45683,Female,Loyal Customer,37,Mid,Business travel,Business,2861,3,3,3,3,1,4,5,4,4,4,4,1,4,5,0,0.0,1
930,23806,Male,Loyal Customer,80,Old,Business travel,Business,3247,1,5,1,1,1,1,5,4,4,4,4,2,4,5,50,37.0,1
931,73308,Male,disloyal Customer,22,Young,Business travel,Eco,1005,5,4,4,1,4,4,5,4,3,3,4,5,5,4,0,0.0,1
932,17747,Male,Loyal Customer,52,Senior,Personal Travel,Eco,383,0,5,0,1,1,0,1,1,4,4,5,5,5,1,0,0.0,1
933,46329,Male,Loyal Customer,59,Senior,Personal Travel,Eco,420,3,3,5,3,1,5,1,1,2,5,3,3,3,1,5,29.0,0
934,27803,Male,Loyal Customer,69,Old,Business travel,Business,1448,3,3,3,3,2,4,4,3,3,2,3,3,3,2,0,0.0,0
935,41993,Female,Loyal Customer,44,Mid,Business travel,Eco,106,5,4,4,4,5,1,3,5,5,5,5,2,5,1,0,0.0,1
936,20855,Female,Loyal Customer,14,Teen,Personal Travel,Eco,357,4,4,4,4,1,4,1,1,5,2,4,5,4,1,0,0.0,0
937,42032,Female,Loyal Customer,54,Senior,Business travel,Business,3968,3,3,3,3,2,4,1,5,5,5,5,5,5,5,0,0.0,1
938,42506,Female,Loyal Customer,68,Old,Personal Travel,Eco,541,4,3,4,3,4,4,3,5,5,4,5,4,5,2,4,0.0,0
939,36484,Male,disloyal Customer,35,Mid,Business travel,Business,1121,4,4,4,4,5,4,5,5,3,5,3,2,3,5,10,16.0,0
940,33321,Male,Loyal Customer,31,Mid,Business travel,Eco,2409,5,1,1,1,5,5,5,5,3,5,5,2,2,5,0,0.0,1
941,49440,Female,Loyal Customer,54,Senior,Business travel,Eco,308,5,5,5,5,1,5,5,5,5,5,5,3,5,5,0,0.0,1
942,117775,Female,Loyal Customer,47,Senior,Business travel,Business,1891,3,3,3,3,2,3,4,4,4,4,4,4,4,5,0,0.0,1
943,98812,Male,Loyal Customer,30,Young,Business travel,Business,763,4,4,4,4,2,2,2,2,5,5,4,5,5,2,15,8.0,1
944,113150,Male,Loyal Customer,40,Mid,Business travel,Business,2802,2,2,2,2,2,5,4,4,4,4,4,3,4,4,31,23.0,1
945,101662,Male,Loyal Customer,46,Senior,Business travel,Business,2106,3,5,5,5,3,3,3,3,3,3,3,1,3,2,24,0.0,0
946,76362,Female,Loyal Customer,40,Mid,Personal Travel,Business,931,2,4,2,4,3,5,5,5,5,2,5,3,5,4,93,101.0,0
947,103160,Male,Loyal Customer,40,Mid,Business travel,Business,3799,2,2,5,2,2,4,5,5,5,5,5,3,5,3,81,96.0,1
948,6054,Female,Loyal Customer,29,Young,Personal Travel,Eco,672,3,4,3,3,5,3,5,5,3,3,5,3,5,5,0,0.0,0
949,52694,Female,Loyal Customer,53,Senior,Business travel,Eco Plus,110,2,3,5,3,4,3,3,3,3,2,3,2,3,4,0,0.0,0
950,81256,Female,disloyal Customer,17,Teen,Business travel,Business,1020,0,0,0,3,4,0,4,4,4,3,5,5,4,4,11,0.0,1
951,115026,Male,Loyal Customer,27,Young,Business travel,Business,358,1,1,3,1,5,5,5,5,5,4,4,3,4,5,0,0.0,1
952,31424,Female,Loyal Customer,77,Old,Business travel,Business,203,4,3,3,3,5,4,3,2,2,2,4,1,2,4,0,11.0,0
953,36154,Male,Loyal Customer,36,Mid,Business travel,Eco Plus,818,2,3,3,3,2,2,2,2,1,1,3,3,3,2,21,37.0,0
954,73038,Male,Loyal Customer,43,Mid,Personal Travel,Eco,1096,3,3,3,1,3,3,3,3,5,2,2,1,3,3,68,43.0,0
955,70922,Female,Loyal Customer,68,Old,Business travel,Business,2832,3,3,3,3,3,4,5,3,3,4,3,5,3,3,113,105.0,1
956,6442,Male,Loyal Customer,28,Young,Personal Travel,Eco,296,3,5,3,2,5,3,5,5,3,4,5,3,5,5,17,13.0,0
957,23792,Male,disloyal Customer,25,Young,Business travel,Eco,374,2,1,2,1,4,2,4,4,3,3,1,3,1,4,25,29.0,0
958,62854,Female,Loyal Customer,39,Mid,Business travel,Business,2446,2,2,2,2,2,5,5,4,4,4,4,4,4,3,0,0.0,1
959,125922,Female,Loyal Customer,55,Senior,Personal Travel,Eco,993,1,4,1,1,2,4,4,3,3,1,3,3,3,4,0,0.0,0
960,101735,Male,Loyal Customer,58,Senior,Business travel,Business,1590,3,3,3,3,5,5,4,4,4,4,4,3,4,4,2,0.0,1
961,13793,Female,Loyal Customer,18,Teen,Business travel,Eco Plus,878,0,5,0,4,4,0,4,4,1,2,3,1,2,4,20,20.0,1
962,45544,Female,Loyal Customer,64,Old,Business travel,Business,166,5,5,5,5,2,4,1,5,5,5,4,5,5,2,0,0.0,1
963,128499,Male,Loyal Customer,7,Teen,Personal Travel,Eco,304,4,4,4,4,5,4,5,5,4,4,3,2,2,5,0,0.0,0
964,75319,Male,Loyal Customer,41,Mid,Business travel,Business,2556,3,3,3,3,5,5,5,3,3,4,4,5,3,5,0,11.0,1
965,63062,Female,Loyal Customer,56,Senior,Personal Travel,Eco,948,3,3,3,3,1,4,4,3,3,3,3,1,3,3,0,0.0,0
966,69088,Male,Loyal Customer,9,Teen,Personal Travel,Eco,1389,1,4,1,4,1,1,1,1,3,2,4,4,5,1,0,0.0,0
967,56055,Male,Loyal Customer,25,Young,Personal Travel,Eco,2475,3,5,3,2,3,3,3,3,3,2,5,5,4,3,0,0.0,0
968,23256,Male,disloyal Customer,24,Young,Business travel,Eco,783,1,1,1,3,4,1,1,4,1,5,3,2,2,4,0,0.0,0
969,2766,Female,Loyal Customer,55,Senior,Business travel,Business,764,2,2,2,2,2,4,4,5,5,5,5,5,5,3,0,0.0,1
970,88472,Female,disloyal Customer,17,Teen,Business travel,Eco,406,3,3,3,3,4,3,4,4,2,5,3,1,4,4,40,29.0,0
971,92733,Female,Loyal Customer,55,Senior,Business travel,Business,1298,2,2,2,2,4,4,5,5,5,5,5,5,5,4,0,0.0,1
972,8997,Male,Loyal Customer,37,Mid,Business travel,Business,2214,4,1,1,1,2,3,3,4,4,3,4,1,4,1,28,19.0,0
973,72815,Male,Loyal Customer,25,Young,Business travel,Eco Plus,645,3,5,5,5,3,3,2,3,2,5,4,4,3,3,86,82.0,0
974,37792,Male,Loyal Customer,46,Senior,Business travel,Eco Plus,944,5,2,5,2,5,5,5,5,1,1,5,5,5,5,0,0.0,1
975,115023,Male,Loyal Customer,39,Mid,Business travel,Business,308,5,5,4,5,3,5,5,4,4,4,4,4,4,4,4,8.0,1
976,127160,Female,Loyal Customer,27,Young,Personal Travel,Eco,651,2,2,2,3,1,2,1,1,1,5,4,2,3,1,124,114.0,0
977,115148,Female,disloyal Customer,21,Young,Business travel,Eco,337,2,1,2,4,2,2,2,4,2,4,3,2,2,2,137,138.0,0
978,43633,Female,Loyal Customer,39,Mid,Personal Travel,Eco,119,2,2,0,3,0,3,3,2,2,3,3,3,1,3,187,191.0,0
979,26473,Male,Loyal Customer,64,Old,Personal Travel,Eco,919,3,5,3,3,2,3,2,2,5,1,1,4,3,2,0,0.0,0
980,42952,Female,disloyal Customer,27,Young,Business travel,Eco,259,2,5,3,4,2,3,2,2,1,1,5,4,3,2,0,0.0,0
981,40592,Male,disloyal Customer,37,Mid,Business travel,Eco,117,3,1,3,4,5,3,5,5,4,2,3,2,3,5,0,0.0,0
982,120510,Female,Loyal Customer,63,Old,Personal Travel,Eco Plus,449,5,3,5,3,2,4,4,2,2,5,2,3,2,1,0,0.0,1
983,125418,Male,disloyal Customer,32,Mid,Business travel,Business,735,2,2,2,3,4,2,4,4,5,5,5,4,4,4,0,0.0,0
984,18427,Female,Loyal Customer,59,Senior,Business travel,Business,201,3,3,3,3,3,4,4,3,3,4,5,3,3,3,1,0.0,1
985,45697,Female,Loyal Customer,40,Mid,Business travel,Eco Plus,896,2,1,1,1,2,2,2,2,2,5,4,3,3,2,8,10.0,0
986,55250,Male,Loyal Customer,57,Senior,Personal Travel,Eco,1009,3,5,3,3,4,3,4,4,3,3,5,4,4,4,26,27.0,0
987,49711,Male,disloyal Customer,25,Young,Business travel,Eco,156,2,5,2,4,1,2,1,1,3,5,1,2,5,1,0,0.0,0
988,41865,Male,Loyal Customer,25,Young,Personal Travel,Eco,483,3,1,3,4,5,3,5,5,4,5,4,5,5,5,5,0.0,0
989,67501,Male,Loyal Customer,60,Senior,Personal Travel,Eco Plus,641,3,5,3,1,5,3,5,5,3,2,5,5,5,5,7,0.0,0
990,92116,Male,Loyal Customer,61,Old,Personal Travel,Eco,1532,2,1,3,3,2,3,2,2,2,5,4,1,3,2,0,0.0,0
991,43629,Male,Loyal Customer,15,Teen,Personal Travel,Eco,190,2,5,2,5,1,2,1,1,4,4,4,4,5,1,7,0.0,0
992,19680,Female,Loyal Customer,51,Senior,Business travel,Eco,409,4,2,5,2,1,2,4,4,4,4,4,3,4,3,12,6.0,1
993,48176,Female,Loyal Customer,23,Young,Business travel,Business,236,3,4,4,4,3,3,3,3,3,5,3,3,4,3,0,0.0,0
994,107843,Male,Loyal Customer,45,Mid,Business travel,Business,2539,4,4,4,4,2,4,4,5,5,5,5,4,5,3,10,3.0,1
995,1878,Male,Loyal Customer,13,Teen,Personal Travel,Eco,931,5,5,5,3,4,5,4,4,4,4,5,5,4,4,0,4.0,1
996,76953,Female,disloyal Customer,31,Mid,Business travel,Business,1990,2,2,2,2,5,2,5,5,3,2,3,4,4,5,18,6.0,0
997,66370,Male,Loyal Customer,40,Mid,Business travel,Business,3298,3,3,3,3,2,4,5,3,3,3,3,4,3,5,0,0.0,1
998,790,Female,Loyal Customer,47,Senior,Business travel,Business,482,2,2,2,2,5,4,5,4,4,4,4,5,4,4,9,0.0,1
999,41623,Male,Loyal Customer,15,Teen,Personal Travel,Eco Plus,1504,3,3,3,1,2,3,2,2,4,5,1,4,1,2,0,0.0,0
1000,40956,Female,disloyal Customer,41,Mid,Business travel,Eco,601,1,4,1,3,4,1,4,4,3,1,3,4,2,4,1,0.0,0
1001,79213,Male,Loyal Customer,22,Young,Personal Travel,Eco,1990,2,4,2,4,1,2,1,1,3,3,3,2,4,1,0,0.0,0
1002,30364,Male,Loyal Customer,30,Young,Business travel,Business,1945,1,1,1,1,5,5,5,5,3,4,5,4,1,5,36,33.0,1
1003,64612,Male,Loyal Customer,60,Senior,Business travel,Business,1688,2,2,3,2,3,4,4,4,4,4,4,3,4,5,32,28.0,1
1004,17057,Male,Loyal Customer,39,Mid,Business travel,Business,3905,5,5,5,5,1,2,3,5,5,5,5,1,5,1,0,0.0,1
1005,96444,Male,Loyal Customer,44,Mid,Business travel,Business,302,2,2,2,2,4,4,4,5,5,5,5,4,5,4,31,22.0,1
1006,71624,Female,Loyal Customer,49,Senior,Business travel,Eco,797,2,5,5,5,2,3,4,2,2,2,2,2,2,3,29,19.0,0
1007,54240,Male,Loyal Customer,35,Mid,Business travel,Business,2615,5,5,5,5,2,3,5,4,4,4,4,3,4,3,0,0.0,1
1008,31294,Male,Loyal Customer,40,Mid,Personal Travel,Eco Plus,770,1,5,1,4,4,1,4,4,5,3,4,5,5,4,22,17.0,0
1009,118896,Male,Loyal Customer,47,Senior,Business travel,Eco,587,1,2,1,1,1,1,1,1,1,3,3,4,4,1,35,18.0,0
1010,53750,Female,Loyal Customer,12,Teen,Personal Travel,Eco Plus,1208,1,4,1,3,2,1,2,2,2,3,3,3,3,2,1,0.0,0
1011,32975,Female,Loyal Customer,50,Senior,Personal Travel,Eco,163,3,4,3,1,4,4,5,4,4,3,5,5,4,3,0,0.0,0
1012,13179,Male,Loyal Customer,24,Young,Business travel,Business,542,3,3,1,3,5,5,5,5,5,3,4,4,2,5,7,9.0,1
1013,120172,Male,Loyal Customer,52,Senior,Business travel,Eco,335,5,5,5,5,5,5,5,5,3,5,4,2,4,5,0,0.0,1
1014,76099,Female,Loyal Customer,14,Teen,Personal Travel,Eco,669,1,5,1,1,5,1,5,5,4,5,5,3,5,5,53,41.0,0
1015,50399,Male,Loyal Customer,16,Teen,Business travel,Business,2579,2,4,4,4,2,3,2,2,3,1,3,4,4,2,0,0.0,0
1016,56284,Male,Loyal Customer,40,Mid,Business travel,Business,2227,5,5,5,5,4,4,5,4,4,4,4,5,4,3,15,50.0,1
1017,80295,Male,Loyal Customer,54,Senior,Business travel,Eco,746,2,4,4,4,2,2,2,2,4,5,3,3,3,2,0,0.0,0
1018,111883,Male,Loyal Customer,72,Old,Business travel,Business,3712,4,4,4,4,5,3,4,4,4,3,4,1,4,4,0,0.0,0
1019,22828,Female,Loyal Customer,22,Young,Business travel,Business,134,3,5,5,5,3,3,3,3,3,2,3,2,3,3,79,70.0,0
1020,81352,Male,Loyal Customer,24,Young,Personal Travel,Eco,1299,2,3,2,4,5,2,5,5,1,1,2,4,3,5,1,0.0,0
1021,3488,Female,Loyal Customer,45,Mid,Business travel,Business,1862,2,5,5,5,3,1,2,2,2,2,2,2,2,3,31,30.0,0
1022,15894,Male,Loyal Customer,33,Mid,Business travel,Eco,269,4,3,3,3,4,4,4,4,5,2,2,4,3,4,0,0.0,1
1023,51938,Female,Loyal Customer,39,Mid,Business travel,Business,936,1,1,1,1,2,4,3,3,3,4,3,5,3,1,17,3.0,1
1024,44254,Male,disloyal Customer,21,Young,Business travel,Eco,118,1,3,1,4,3,1,3,3,2,5,4,1,3,3,0,5.0,0
1025,26778,Male,Loyal Customer,41,Mid,Business travel,Eco,1199,3,2,2,2,3,3,3,3,4,1,3,1,4,3,4,0.0,0
1026,49352,Female,disloyal Customer,39,Mid,Business travel,Eco,158,2,0,2,5,2,2,2,2,5,3,4,4,1,2,0,0.0,0
1027,94980,Female,disloyal Customer,24,Young,Business travel,Eco,148,2,3,1,4,2,1,2,2,1,5,1,2,2,2,3,8.0,0
1028,23486,Male,Loyal Customer,51,Senior,Personal Travel,Eco,576,1,4,1,1,4,1,4,4,4,5,4,4,4,4,17,24.0,0
1029,30993,Female,disloyal Customer,44,Mid,Business travel,Eco,391,1,5,2,3,4,2,4,4,5,2,1,1,1,4,0,2.0,0
1030,57676,Male,Loyal Customer,42,Mid,Business travel,Business,2711,5,5,3,5,4,5,4,4,4,4,4,4,4,4,5,18.0,1
1031,104952,Female,disloyal Customer,49,Senior,Business travel,Business,314,3,3,3,3,5,3,1,5,3,3,5,5,5,5,0,0.0,0
1032,65054,Male,Loyal Customer,61,Old,Personal Travel,Eco,282,4,5,4,1,5,4,5,5,2,1,4,3,5,5,0,0.0,1
1033,61313,Female,Loyal Customer,59,Senior,Business travel,Business,1605,2,2,4,2,5,5,4,5,5,5,5,5,5,3,3,0.0,1
1034,97778,Female,Loyal Customer,43,Mid,Business travel,Business,1825,4,1,1,1,4,2,3,4,4,3,4,3,4,1,6,0.0,0
1035,10236,Female,Loyal Customer,48,Senior,Business travel,Business,3195,2,1,1,1,3,3,4,2,2,2,2,2,2,3,0,0.0,0
1036,119678,Female,disloyal Customer,27,Young,Business travel,Business,1303,2,2,2,3,5,2,5,5,3,2,4,3,4,5,0,0.0,0
1037,5341,Female,Loyal Customer,40,Mid,Business travel,Business,785,1,1,1,1,4,5,5,4,3,5,4,5,3,5,247,286.0,1
1038,43504,Male,Loyal Customer,63,Old,Personal Travel,Eco,624,3,5,3,4,2,3,2,2,5,3,3,4,5,2,7,17.0,0
1039,68573,Male,disloyal Customer,16,Teen,Business travel,Eco,1616,2,2,2,3,5,2,5,5,4,2,3,3,4,5,0,0.0,0
1040,60207,Male,disloyal Customer,25,Young,Business travel,Eco,1546,2,2,2,1,2,2,2,2,3,4,5,4,4,2,0,0.0,0
1041,67099,Male,Loyal Customer,40,Mid,Business travel,Eco,1102,1,3,3,3,1,1,1,1,2,4,3,4,4,1,0,0.0,0
1042,33312,Male,disloyal Customer,25,Young,Business travel,Eco,1407,4,4,4,4,5,4,5,5,3,2,4,5,4,5,14,22.0,1
1043,22560,Female,Loyal Customer,47,Senior,Personal Travel,Business,300,2,4,3,3,5,5,4,1,1,3,1,4,1,3,0,0.0,0
1044,29634,Female,Loyal Customer,36,Mid,Business travel,Business,1048,4,1,1,1,5,4,3,4,4,4,4,4,4,1,0,0.0,0
1045,119122,Male,Loyal Customer,67,Old,Personal Travel,Eco,1020,2,1,1,2,5,1,5,5,1,3,2,1,3,5,0,0.0,0
1046,115503,Male,Loyal Customer,33,Mid,Business travel,Eco,308,1,2,2,2,1,1,1,1,3,5,3,1,3,1,13,12.0,0
1047,82380,Female,Loyal Customer,38,Mid,Business travel,Business,2848,3,3,3,3,5,5,4,4,4,4,4,4,4,3,20,1.0,1
1048,48131,Male,Loyal Customer,46,Senior,Business travel,Business,2903,0,3,0,4,1,1,2,4,4,5,5,3,4,3,13,0.0,1
1049,124582,Female,Loyal Customer,47,Senior,Business travel,Business,500,5,5,5,5,3,5,4,5,5,5,5,3,5,4,0,0.0,1
1050,72750,Male,disloyal Customer,26,Young,Business travel,Business,806,4,4,4,5,2,4,2,2,4,2,5,5,4,2,0,0.0,1
1051,123767,Male,Loyal Customer,33,Mid,Business travel,Business,2703,2,2,2,2,4,5,4,4,5,4,5,5,5,4,0,0.0,1
1052,126632,Female,Loyal Customer,44,Mid,Business travel,Business,602,4,4,4,4,5,5,4,2,2,2,2,5,2,3,0,0.0,1
1053,13247,Female,Loyal Customer,35,Mid,Business travel,Eco,468,2,1,1,1,2,2,2,2,2,2,5,4,5,2,0,0.0,1
1054,62234,Male,Loyal Customer,54,Senior,Personal Travel,Eco,2454,3,4,2,3,5,2,5,5,4,3,4,1,4,5,0,0.0,0
1055,64146,Male,Loyal Customer,43,Mid,Business travel,Business,989,1,1,1,1,5,4,4,4,4,4,4,3,4,5,0,0.0,1
1056,109855,Female,disloyal Customer,37,Mid,Business travel,Eco,1079,4,4,4,3,1,4,1,1,4,4,3,3,4,1,24,16.0,0
1057,103861,Female,Loyal Customer,16,Teen,Personal Travel,Eco,979,3,2,3,3,3,3,3,3,1,2,4,1,3,3,0,25.0,0
1058,60754,Female,Loyal Customer,58,Senior,Business travel,Business,1908,2,2,2,2,2,5,4,5,5,4,5,3,5,4,0,0.0,1
1059,98299,Female,Loyal Customer,11,Teen,Personal Travel,Eco,1072,3,2,4,3,1,4,1,1,2,3,3,2,4,1,0,0.0,0
1060,38584,Male,Loyal Customer,22,Young,Business travel,Eco Plus,2475,2,5,5,5,2,2,4,2,1,3,3,2,4,2,48,77.0,0
1061,84490,Male,Loyal Customer,35,Mid,Personal Travel,Eco,2994,4,4,4,4,4,3,2,2,4,4,3,2,2,2,0,0.0,0
1062,14875,Female,Loyal Customer,71,Old,Business travel,Business,2119,2,2,2,2,5,1,3,4,4,4,4,5,4,4,0,0.0,1
1063,48090,Male,Loyal Customer,44,Mid,Business travel,Business,3785,4,4,4,4,3,5,2,5,5,5,3,5,5,2,0,16.0,1
1064,64324,Male,Loyal Customer,50,Senior,Business travel,Business,3336,5,5,5,5,2,4,4,5,5,5,5,4,5,3,0,0.0,1
1065,68561,Female,disloyal Customer,22,Young,Business travel,Business,1616,4,0,4,2,2,4,2,2,5,4,3,3,4,2,0,0.0,1
1066,69472,Female,Loyal Customer,69,Old,Personal Travel,Eco,1096,1,5,1,4,5,4,2,5,5,1,5,4,5,3,0,0.0,0
1067,117618,Male,Loyal Customer,48,Senior,Business travel,Business,620,3,1,4,1,3,2,2,3,3,3,3,1,3,3,13,0.0,0
1068,14928,Male,Loyal Customer,29,Young,Personal Travel,Eco Plus,343,4,5,4,2,2,4,2,2,3,4,4,4,4,2,0,0.0,1
1069,8949,Male,Loyal Customer,67,Old,Personal Travel,Eco,328,3,4,3,3,5,3,5,5,4,3,4,3,4,5,0,0.0,0
1070,119765,Male,Loyal Customer,7,Teen,Personal Travel,Eco Plus,1325,3,5,3,4,2,3,4,2,3,5,4,5,5,2,0,6.0,0
1071,54211,Male,Loyal Customer,29,Young,Business travel,Eco Plus,1400,5,2,2,2,5,5,5,5,4,2,2,5,2,5,0,0.0,1
1072,16797,Male,disloyal Customer,25,Young,Business travel,Eco,1017,3,4,4,5,5,4,5,5,2,5,2,3,2,5,126,0.0,0
1073,39714,Female,Loyal Customer,24,Young,Business travel,Business,2229,0,0,0,2,5,5,5,5,1,4,4,2,3,5,0,1.0,1
1074,61650,Female,Loyal Customer,56,Senior,Business travel,Business,1635,2,2,2,2,4,4,4,5,2,5,4,4,3,4,145,122.0,1
1075,66594,Male,Loyal Customer,34,Mid,Business travel,Business,761,1,1,1,1,4,4,5,4,4,4,4,5,4,4,10,1.0,1
1076,78968,Male,Loyal Customer,45,Mid,Business travel,Business,356,1,1,1,1,5,5,4,4,4,5,4,4,4,4,60,41.0,1
1077,118926,Female,Loyal Customer,42,Mid,Business travel,Business,1874,4,4,4,4,4,4,5,2,2,2,2,5,2,5,20,30.0,1
1078,112399,Female,Loyal Customer,47,Senior,Business travel,Business,3240,1,1,1,1,2,4,5,4,4,4,4,4,4,3,12,2.0,1
